intitulé	UD	UD-pos	ajout morph	UD-feats complet	commentaire
abréviation	X	Abbr=Yes	_	_	ordre alphabétique ? | ajouter adjectif démonstratif ?
adjectif cardinal singulier féminin sujet	ADJ	NumType=Card	Case=Nom|Gender=Fem|Number=Sing 	Case=Nom|Gender=Fem|Number=Sing|NumType=Card	
adjectif cardinal singulier féminin régime	ADJ	NumType=Card	Case=Acc|Gender=Fem|Number=Sing	Case=Acc|Gender=Fem|Number=Sing|NumType=Card	
adjectif cardinal pluriel féminin sujet	ADJ	NumType=Card	Case=Nom|Gender=Fem|Number=Plur 	Case=Nom|Gender=Fem|Number=Plur|NumType=Card	
adjectif cardinal pluriel féminin régime	ADJ	NumType=Card	Case=Acc|Gender=Fem|Number=Plur	Case=Acc|Gender=Fem|Number=Plur|NumType=Card	
adjectif cardinal singulier masculin sujet	ADJ	NumType=Card	Case=Nom|Gender=Masc|Number=Sing 	Case=Nom|Gender=Masc|Number=Sing|NumType=Card	
adjectif cardinal singulier masculin régime	ADJ	NumType=Card	Case=Acc|Gender=Masc|Number=Sing	Case=Acc|Gender=Masc|Number=Sing|NumType=Card	
adjectif cardinal pluriel masculin sujet	ADJ	NumType=Card	Case=Nom|Gender=Masc|Number=Plur 	Case=Nom|Gender=Masc|Number=Plur|NumType=Card	
adjectif cardinal pluriel masculin régime	ADJ	NumType=Card	Case=Acc|Gender=Masc|Number=Plur	Case=Acc|Gender=Masc|Number=Plur|NumType=Card	
adjectif cardinal singulier neutre sujet	ADJ	NumType=Card	Case=Nom|Gender=Neut|Number=Sing 	Case=Nom|Gender=Neut|Number=Sing|NumType=Card	
adjectif cardinal singulier neutre régime	ADJ	NumType=Card	Case=Acc|Gender=Neut|Number=Sing	Case=Acc|Gender=Neut|Number=Sing|NumType=Card	
adjectif cardinal pluriel neutre sujet	ADJ	NumType=Card	Case=Nom|Gender=Neut|Number=Plur 	Case=Nom|Gender=Neut|Number=Plur|NumType=Card	
adjectif cardinal pluriel neutre régime	ADJ	NumType=Card	Case=Acc|Gender=Neut|Number=Plur	Case=Acc|Gender=Neut|Number=Plur|NumType=Card	
adjectif indéfini singulier féminin sujet	ADJ	PronType=Ind	Case=Nom|Gender=Fem|Number=Sing 	Case=Nom|Gender=Fem|Number=Sing|PronType=Ind	
adjectif indéfini singulier féminin régime	ADJ	PronType=Ind	Case=Acc|Gender=Fem|Number=Sing	Case=Acc|Gender=Fem|Number=Sing|PronType=Ind	
adjectif indéfini pluriel féminin sujet	ADJ	PronType=Ind	Case=Nom|Gender=Fem|Number=Plur 	Case=Nom|Gender=Fem|Number=Plur|PronType=Ind	
adjectif indéfini pluriel féminin régime	ADJ	PronType=Ind	Case=Acc|Gender=Fem|Number=Plur	Case=Acc|Gender=Fem|Number=Plur|PronType=Ind	
adjectif indéfini singulier masculin sujet	ADJ	PronType=Ind	Case=Nom|Gender=Masc|Number=Sing 	Case=Nom|Gender=Masc|Number=Sing|PronType=Ind	
adjectif indéfini singulier masculin régime	ADJ	PronType=Ind	Case=Acc|Gender=Masc|Number=Sing	Case=Acc|Gender=Masc|Number=Sing|PronType=Ind	
adjectif indéfini pluriel masculin sujet	ADJ	PronType=Ind	Case=Nom|Gender=Masc|Number=Plur 	Case=Nom|Gender=Masc|Number=Plur|PronType=Ind	
adjectif indéfini pluriel masculin régime	ADJ	PronType=Ind	Case=Acc|Gender=Masc|Number=Plur	Case=Acc|Gender=Masc|Number=Plur|PronType=Ind	
adjectif indéfini singulier neutre sujet	ADJ	PronType=Ind	Case=Nom|Gender=Neut|Number=Sing 	Case=Nom|Gender=Neut|Number=Sing|PronType=Ind	
adjectif indéfini singulier neutre régime	ADJ	PronType=Ind	Case=Acc|Gender=Neut|Number=Sing	Case=Acc|Gender=Neut|Number=Sing|PronType=Ind	
adjectif indéfini pluriel neutre sujet	ADJ	PronType=Ind	Case=Nom|Gender=Neut|Number=Plur 	Case=Nom|Gender=Neut|Number=Plur|PronType=Ind	
adjectif indéfini pluriel neutre régime	ADJ	PronType=Ind	Case=Acc|Gender=Neut|Number=Plur	Case=Acc|Gender=Neut|Number=Plur|PronType=Ind	
adjectif ordinal singulier féminin sujet	ADJ	NumType=Ord	Case=Nom|Gender=Fem|Number=Sing	Case=Nom|Gender=Fem|Number=Sing|NumType=Ord	
