form	POS	lemma	POSUD	ud-feats
Longue	ADJqua	lonc	ADJ	_
atente	NOMcom	atente	NOUN	_
vous	PROper	vos	PRON	PronType=Prs
poroit	VERcjg	pöoir	VERB	VerbForm=Fin
nuire	VERinf	nuire	VERB	VerbForm=Inf
,	PONfbl	,	PUNCT	_
ce	PROdem	ce1	PRON	PronType=Dem
m	PROper	je	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
est	VERcjg	estre1	VERB	VerbForm=Fin
vis	NOMcom	vis2	NOUN	_
:	PONfbl	:	PUNCT	_
si	ADVgen	si	ADV	_
lo	VERcjg	löer1	VERB	VerbForm=Fin
que	CONsub	que4	SCONJ	_
vous	PROper	vos	PRON	PronType=Prs
soiiés	VERcjg	estre1	VERB	VerbForm=Fin
amis	NOMcom	ami	NOUN	_
en	PRE	en1	ADP	_
un	DETndf	un	DET	PronType=Art|Definite=Ind
haut	ADJqua	haut	ADJ	_
liu	NOMcom	lieu	NOUN	_
,	PONfbl	,	PUNCT	_
se	CONsub	se	SCONJ	_
vous	PROper	vos	PRON	PronType=Prs
veés	VERcjg	vëoir	VERB	VerbForm=Fin
que	CONsub	que4	SCONJ	_
vous	PROper	vos	PRON	PronType=Prs
i	PROadv	i2	ADV	_
soiiés	VERcjg	estre1	VERB	VerbForm=Fin
bien	ADVgen	bien1	ADV	_
amés	VERppe	amer1	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
»	PONfbl	»	PUNCT	_
Cil	PROdem	cel	PRON	PronType=Dem
respont	VERcjg	respondre1	VERB	VerbForm=Fin
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
Ma	DETpos	mon1	DET	Poss=Yes
dame	NOMcom	dame	NOUN	_
,	PONfbl	,	PUNCT	_
par	PRE	par	ADP	_
foi	NOMcom	foi	NOUN	_
,	PONfbl	,	PUNCT	_
je	PROper	je	PRON	PronType=Prs
ne	ADVneg	ne1	ADV	PronType=Neg
sai	VERcjg	savoir	VERB	VerbForm=Fin
mie	ADVneg	mie	ADV	PronType=Neg
bien	ADVgen	bien1	ADV	_
por	PRE	por2	ADP	_
quoi	PROrel	coi2	PRON	PronType=Rel
ce	PROdem	ce1	PRON	PronType=Dem
me	PROper	je	PRON	PronType=Prs
dites	VERcjg	dire	VERB	VerbForm=Fin
n	CONcoo	ne2	CCONJ	_
’	PONfbl	’	PUNCT	_
à	PRE	a3	ADP	_
coi	PROrel	coi2	PRON	PronType=Rel
ce	PROdem	ce1	PRON	PronType=Dem
monte	VERcjg	monter	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
mais	CONcoo	mais1	CCONJ	_
je	PROper	je	PRON	PronType=Prs
ne	ADVneg	ne1	ADV	PronType=Neg
sui	VERcjg	estre1	VERB	VerbForm=Fin
ne	CONcoo	ne2	CCONJ	_
rois	NOMcom	roi2	NOUN	_
ne	CONcoo	ne2	CCONJ	_
conte	NOMcom	conte1	NOUN	_
qui	PROrel	que2	PRON	PronType=Rel
si	ADVgen	si	ADV	_
hautement	ADVgen	hautement	ADV	_
amer	VERinf	amer1	VERB	VerbForm=Inf
doie	VERcjg	devoir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
ne	CONcoo	ne2	CCONJ	_
je	PROper	je	PRON	PronType=Prs
n’	ADVneg	ne1	ADV	PronType=Neg
en	PROadv	en2	ADV	_
sui	VERcjg	estre1	VERB	VerbForm=Fin
mie	ADVneg	mie	ADV	PronType=Neg
à	PRE	a3	ADP	_
.	PONfrt	.	PUNCT	_
II	DETcar	2	DET	NumType=Card
.	PONfrt	.	PUNCT	_
doie	NOMcom	doie	NOUN	_
d	PRE	de	ADP	_
’	PONfbl	’	PUNCT	_
amer	VERinf	amer1	VERB	VerbForm=Inf
dame	NOMcom	dame	NOUN	_
si	ADVgen	si	ADV	_
soveraine	ADJqua	soverain	ADJ	_
