mot	count_xml_double	positions_xml_double_TL	count_xml_single	positions_xml_single_TL
chanel1	2	2873 | 3462	1	2893
chanjon	2	3198 | 3209	1	3218
charree1	2	3319 | 3338	1	3339
chasti	2	3366 | 3369	1	3389
colorir	2	4679 | 22802	1	22823
coment1	2	3978 | 3979	1	4000
confus1	2	4156 | 4187	1	4208
convers1	2	4445 | 4446	1	4467
coronele	2	4568 | 4733	1	4754
cost1	2	4622 | 4626	1	4643
coup1	2	2129 | 4684	1	2145
crote1	2	4991 | 4992	1	5012
culeter	2	3819 | 5071	1	5092
defenir1	2	5384 | 5408	1	5405
demaine1	2	5570 | 6396	1	5591
denoiier	2	5651 | 5663	1	5672
depriier	2	5751 | 5760	1	5781
destorner	2	5841 | 6216	1	6237
dete	2	6249 | 6356	1	6377
doiien	2	6656 | 6657	1	6677
doille1	2	6529 | 6626	1	6550
edit1	2	6950 | 7026	1	6971
empaler1	2	7195 | 7199	1	7216
enchotir	2	7383 | 7385	1	7406
enclaver	2	7391 | 7406	1	7412
encurer	2	7461 | 7462	1	7483
enfieler	2	7545 | 22709	1	7566
enragier	2	7302 | 7794	1	7815
enromancier	2	7815 | 23007	1	7836
entremi	2	8080 | 8084	1	8101
entulle	2	8150 | 8151	1	8171
erbiere2	2	11587 | 11588	1	11607
esbanir	2	8385 | 23021	1	8406
escove	2	6901 | 8582	1	6922
esgart	2	7006 | 8614	1	7027
espart	2	8686 | 8691	1	8712
espuer	2	8719 | 8781	1	8740
espuisier	2	8324 | 8699	1	8345
estalon1	2	8866 | 9009	1	9030
estel	2	8889 | 12394	1	8910
estruit	2	8811 | 8975	1	8996
faille1	2	9302 | 10080	1	9323
fange	2	9366 | 9654	1	9387
femelete1	2	9513 | 9515	1	9536
fenestre	2	9526 | 9528	1	9549
fierge	2	9540 | 22704	1	22724
flor1	2	9819 | 9821	1	9840
fornoiier1	2	10039 | 10147	1	10167
fruitier1	2	10371 | 10372	1	10391
giron1	2	10784 | 10785	1	10804
graignor	2	10465 | 11023	1	11043
grel	2	11016 | 11215	1	11235
han	2	11378 | 11379	1	11398
hant	2	11397 | 11822	1	11417
harde	2	11418 | 11430	1	11438
harper1	2	11459 | 11627	1	11479
horson	2	11750 | 11763	1	11782
infinit	2	12160 | 12161	1	12179
iraconde	2	12356 | 12358	1	12375
ivroigne1	2	12406 | 12407	1	12426
legat1	2	12942 | 12943	1	12961
lodier1	2	13199 | 13299	1	13318
lubre	2	13343 | 13344	1	13362
luisor	2	13153 | 13362	1	13381
malaventure	2	13560 | 13561	1	13579
manche1	2	13639 | 13640	1	13658
manuevre1	2	13656 | 13687	1	13675
marchis	2	13736 | 13792	1	13811
mercier	2	14107 | 14108	1	14126
merite	2	14129 | 14130	1	14148
mesprenture	2	14091 | 14092	1	14110
mesure	2	14175 | 14202	1	14221
mil1	2	14291 | 14294	1	14313
monde1	2	14447 | 14448	1	14466
monter	2	14462 | 14478	1	14497
mors1	2	14386 | 14530	1	14405
muraille	2	14675 | 14726	1	14694
ne	2	14962 | 15112	1	15131
nel	2	14850 | 14965	1	14984
nuef1	2	14891 | 14892	1	14911
ombrer	2	15172 | 15308	1	15327
ordoiier	2	15402 | 15403	1	15421
oree1	2	15410 | 15411	1	15430
page1	2	15604 | 16161	1	15623
paleron	2	15672 | 15687	1	15691
parsomet	2	15963 | 22729	1	15982
parsoner	2	15817 | 15965	1	15984
partagier	2	15895 | 15972	1	15991
partir	2	15935 | 15992	1	16011
passeret1	2	16036 | 16038	1	16057
passoir	2	16043 | 16054	1	16073
perlerie	2	16388 | 16923	1	16407
peschier1	2	16180 | 16181	1	16200
planer1	2	16753 | 16754	1	16773
pointel	2	16642 | 16953	1	16972
porfire1	2	17059 | 17060	1	17080
portal1	2	17068 | 17069	1	17088
portoir	2	17081 | 17089	1	17109
pratique1	2	17292 | 17293	1	17312
prinsaut	2	17464 | 17479	1	17499
procurer	2	17522 | 17526	1	17546
promovoir	2	17575 | 17576	1	17596
rai	2	17990 | 17991	1	18010
rance	2	18088 | 18255	1	18108
recort1	2	17940 | 18401	1	17960
redois	2	18493 | 18499	1	18513
rer	2	19537 | 19602	1	19622
reter1	2	19197 | 19238	1	19217
rimer1	2	19363 | 22731	1	19383
roiier1	2	18246 | 19578	1	18266
salubre	2	19749 | 19752	1	19769
sauvoir	2	19904 | 19905	1	19925
selete	2	19934 | 20040	1	20060
semillos	2	20007 | 20069	1	20089
semure	2	20066 | 20080	1	20100
serrure	2	8373 | 20196	1	20216
solet1	2	20226 | 20572	1	20246
targement	2	1322 | 21085	1	21105
tendre1	2	21203 | 21204	1	21224
tendror	2	21201 | 21208	1	21228
terrin1	2	21282 | 21283	1	21303
ton1	2	21058 | 21412	1	21432
tor1	2	21130 | 21487	1	21150
torel1	2	21132 | 21494	1	21152
tost1	2	2268 | 21469	1	2288
treilliz	2	21482 | 21691	1	21711
vague1	2	22028 | 22664	1	22048
veve1	2	22343 | 22344	1	22363
visconte	2	22369 | 22370	1	22389
viscos	2	22367 | 22513	1	22533
volant	2	22465 | 22587	1	22607
